id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","02948","31060410","202511152255","2568",1152,4943,300,363,244,1693,530,311,220,382,445,455,0,0
"92a705c26f22754d7462e9f742436b6f","04353","40090909","202511161807","2568",4757,14842,708,3284,767,2756,1593,907,627,686,1346,706,684,778
"92a705c26f22754d7462e9f742436b6f","03641","34090901","202511170750","2568",6404,22871,2267,2589,3441,2587,3910,2058,2022,1078,1280,1310,329,0
"92a705c26f22754d7462e9f742436b6f","08963","80190405","202511152301","2568",5622,13473,356,2658,1684,1618,2130,1672,351,363,504,1372,252,513
"92a705c26f22754d7462e9f742436b6f","08714","77040405","202511160704","2568",4160,15605,772,2750,2658,1071,1354,636,570,783,3134,641,685,551
"92a705c26f22754d7462e9f742436b6f","01719","19031504","202511161420","2568",2312,8284,659,475,937,603,392,484,900,564,726,943,915,687
"92a705c26f22754d7462e9f742436b6f","14720","54010605","202511162108","2568",1799,6865,401,619,1205,524,556,514,579,493,680,430,470,395
"92a705c26f22754d7462e9f742436b6f","09351","86010707","202511162036","2568",4702,13534,1667,898,3528,1528,715,725,531,893,682,775,1079,513
"92a705c26f22754d7462e9f742436b6f","03642","34091102","202511170750","2568",4050,12510,1199,1180,2287,2418,1658,1071,595,626,805,667,4,0
"92a705c26f22754d7462e9f742436b6f","09060","82010404","202511170311","2568",3594,12339,1180,1717,1715,1783,1037,697,616,777,1070,579,531,637
"92a705c26f22754d7462e9f742436b6f","03930","36010301","202511161658","2568",5476,15172,2006,2122,2191,1550,1475,1278,733,1046,1208,616,956,0
"92a705c26f22754d7462e9f742436b6f","15017","56051102","202511162249","2568",2635,12137,586,1832,724,1016,816,740,665,778,2795,619,1014,597
"92a705c26f22754d7462e9f742436b6f","04423","40170208","202511161807","2568",2588,7565,705,388,1741,1421,326,256,259,305,511,637,526,490
"92a705c26f22754d7462e9f742436b6f","08027","71011305","202511170707","2568",1590,5958,449,479,495,447,532,525,570,645,432,718,466,200
"92a705c26f22754d7462e9f742436b6f","02349","25060601","202511161406","2568",2277,8024,440,321,999,2012,1001,859,439,107,743,309,440,354
"92a705c26f22754d7462e9f742436b6f","08530","75020401","202511160509","2568",1279,5009,415,356,1418,414,306,369,198,363,490,159,323,198
"92a705c26f22754d7462e9f742436b6f","06133","52011501","202511170654","2568",2125,10606,1695,1136,565,1437,672,668,499,857,913,1094,512,558
