id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","04710","42050202","202411162110","2567",1306,5518,706,586,348,962,492,244,541,287,322,428,320,293
"92a705c26f22754d7462e9f742436b6f","05609","48011008","202411171120","2567",3040,14371,717,1378,1349,3022,2172,1075,647,718,993,686,865,749
"92a705c26f22754d7462e9f742436b6f","06403","54041108","202411161456","2567",2131,11027,1558,1329,903,719,868,627,637,855,853,1455,935,293
"92a705c26f22754d7462e9f742436b6f","09332","85030403","202411160632","2567",1329,5831,465,419,899,768,444,362,358,597,500,381,389,249
"92a705c26f22754d7462e9f742436b6f","07718","67010713","202411160838","2567",6554,32328,2194,2073,2948,2852,2800,2901,2362,3434,2942,2458,3377,1987
"92a705c26f22754d7462e9f742436b6f","10030","95011803","202411161613","2567",3172,10398,1070,1297,1583,1082,748,794,724,481,834,870,515,400
"92a705c26f22754d7462e9f742436b6f","09333","85030501","202411160632","2567",901,3343,218,412,451,528,250,170,162,254,198,307,216,177
"92a705c26f22754d7462e9f742436b6f","01360","15010805","202411160939","2567",6555,23118,1489,1744,3830,3090,3914,2351,1753,1285,701,452,1547,973
"92a705c26f22754d7462e9f742436b6f","01032","12040803","202411161356","2567",4833,12794,860,1401,1496,1637,951,829,738,991,1164,1024,906,797
"92a705c26f22754d7462e9f742436b6f","04871","38040402","202411161019","2567",2910,9896,769,759,552,1040,1125,1418,381,405,910,605,1432,502
"92a705c26f22754d7462e9f742436b6f","09058","82010203","202411170114","2567",4385,15364,742,655,1552,2157,2436,2081,857,986,1036,1057,1022,783
"92a705c26f22754d7462e9f742436b6f","03121","32020802","202411161613","2567",2504,8962,408,452,531,1297,1482,828,583,635,567,1214,560,405
"92a705c26f22754d7462e9f742436b6f","05757","49011103","202411160839","2567",2438,8358,578,506,432,743,927,921,663,1035,777,670,804,302
"92a705c26f22754d7462e9f742436b6f","01075","13010704","202411162318","2567",8800,23454,1437,1901,3551,2645,1993,1148,1759,1883,2080,1794,1786,1477
"92a705c26f22754d7462e9f742436b6f","06277","53030205","202411161608","2567",2174,8597,519,1196,732,1173,673,656,406,449,802,726,579,686
"92a705c26f22754d7462e9f742436b6f","09487","90040906","202411152256","2567",5770,22779,2725,1575,3019,3044,1291,1339,1638,1793,1634,2286,1411,1024
"92a705c26f22754d7462e9f742436b6f","02244","24051002","202411161832","2567",1035,2996,129,154,152,135,654,188,217,330,254,216,252,315
"92a705c26f22754d7462e9f742436b6f","14452","86010100","202411161528","2567",19316,44477,2517,3149,8759,2979,3803,1351,1239,2048,13877,2252,1133,1370
"92a705c26f22754d7462e9f742436b6f","09918","94030601","202411161514","2567",2947,6423,425,816,1802,647,375,288,296,286,250,366,745,127
"92a705c26f22754d7462e9f742436b6f","08159","72010805","202411160310","2567",2169,6509,443,1048,973,649,314,482,300,327,377,840,357,403
"92a705c26f22754d7462e9f742436b6f","04872","38040411","202411161019","2567",4043,10805,583,981,505,1339,2518,697,1024,625,604,738,804,387
"92a705c26f22754d7462e9f742436b6f","10782","15020605","202411160939","2567",13920,76093,6228,5849,6756,6719,6781,6319,5877,6501,6226,6662,6276,5899
"92a705c26f22754d7462e9f742436b6f","01392","15040702","202411160939","2567",831,2356,96,112,175,728,106,174,90,287,247,111,148,82
"92a705c26f22754d7462e9f742436b6f","06605","56050303","202411161833","2567",2766,11112,467,1963,2678,1890,536,484,459,517,761,480,603,398
"92a705c26f22754d7462e9f742436b6f","01626","18030402","202411161330","2567",2747,10792,759,2032,1444,1492,469,525,574,458,753,944,548,794
"92a705c26f22754d7462e9f742436b6f","06593","56031206","202411161833","2567",2514,9816,455,909,1650,1269,1146,578,955,379,738,566,748,452
"92a705c26f22754d7462e9f742436b6f","07662","66050111","202411171139","2567",3183,14972,1450,1452,1020,1356,1399,2237,797,1204,1087,1155,976,839
"92a705c26f22754d7462e9f742436b6f","09014","81040204","202411161622","2567",5360,20023,1101,958,1690,2500,3118,1783,1179,1534,1954,1979,1354,873
"92a705c26f22754d7462e9f742436b6f","07162","62011307","202411162053","2567",2894,11882,771,892,872,1311,1375,1340,793,809,1137,858,918,806
"92a705c26f22754d7462e9f742436b6f","06132","52011402","202411162229","2567",2987,13989,1154,1602,1805,876,1350,828,745,898,1003,1327,1632,769
"92a705c26f22754d7462e9f742436b6f","09015","81040301","202411161622","2567",12428,39441,2539,3358,3893,4034,3189,7644,2784,2038,2084,4386,1831,1661
"92a705c26f22754d7462e9f742436b6f","01003","12010901","202411161356","2567",2774,7486,614,914,488,625,542,754,631,643,583,848,371,473
"92a705c26f22754d7462e9f742436b6f","06500","55060302","202411210709","2567",2541,8306,2528,1725,372,439,420,328,378,415,476,654,571,0
"92a705c26f22754d7462e9f742436b6f","01627","18030601","202411161330","2567",2445,9643,552,630,374,1173,2222,839,448,879,348,967,548,663
"92a705c26f22754d7462e9f742436b6f","00964","11040205","202411161231","2567",8367,20327,1236,1124,3380,1494,3287,1111,1607,1175,1682,2155,1109,978
"92a705c26f22754d7462e9f742436b6f","01643","18050115","202411161330","2567",2135,10953,886,859,571,987,2317,1294,794,524,1036,572,670,446
"92a705c26f22754d7462e9f742436b6f","04131","37030507","202411161106","2567",1514,7939,529,872,497,633,706,1031,518,738,589,526,598,702
"92a705c26f22754d7462e9f742436b6f","07772","67032206","202411160838","2567",2423,12318,600,743,1357,2137,1499,943,501,637,1444,1142,652,663
"92a705c26f22754d7462e9f742436b6f","06278","53030208","202411161608","2567",1120,6029,258,953,787,551,365,429,222,675,590,440,358,402
"92a705c26f22754d7462e9f742436b6f","01562","17010502","202411160753","2567",2717,10008,1705,1596,619,1572,818,487,376,760,546,585,364,599
"92a705c26f22754d7462e9f742436b6f","04242","39060204","202411161054","2567",1342,5733,403,378,380,1122,372,385,400,444,707,376,280,489
"92a705c26f22754d7462e9f742436b6f","04713","42050401","202411162110","2567",4175,14439,846,1105,738,2919,1690,1107,1177,1211,1200,1056,927,468
"92a705c26f22754d7462e9f742436b6f","07719","67010716","202411160838","2567",2430,9297,578,439,1601,902,583,615,384,1036,707,996,750,706
"92a705c26f22754d7462e9f742436b6f","41712","11040100","202411161231","2567",14380,42622,2852,4503,2702,2815,2821,2614,2530,3259,6210,5728,3158,3430
"92a705c26f22754d7462e9f742436b6f","09129","83010703","202411161046","2567",37,114,5,9,19,5,9,19,2,4,12,0,0,30
"92a705c26f22754d7462e9f742436b6f","01373","15020703","202411160939","2567",801,3042,221,156,140,545,509,166,243,154,286,302,151,169
"92a705c26f22754d7462e9f742436b6f","04743","42090313","202411162110","2567",4978,21810,1143,2103,1897,4555,1020,2879,2280,1377,1264,1190,1181,922
