id,hospcode,areacode,date_com,b_year,result
"2d85d6ec39840f8051854b028fa13073","15223","31050318","202311162001","2566",1
"2d85d6ec39840f8051854b028fa13073","02936","31050101","202311162001","2566",2
"2d85d6ec39840f8051854b028fa13073","05503","47080210","202311161837","2566",5
"2d85d6ec39840f8051854b028fa13073","02943","31050801","202311162001","2566",1
"2d85d6ec39840f8051854b028fa13073","23578","31220106","202311162001","2566",32
"2d85d6ec39840f8051854b028fa13073","02984","31080803","202311162001","2566",1
"2d85d6ec39840f8051854b028fa13073","12260","12010204","202311131417","2566",359
"2d85d6ec39840f8051854b028fa13073","05516","47081202","202311161837","2566",1
"2d85d6ec39840f8051854b028fa13073","05515","47081101","202311161837","2566",2
"2d85d6ec39840f8051854b028fa13073","05512","47080802","202311161837","2566",152
"2d85d6ec39840f8051854b028fa13073","05508","47080505","202311161837","2566",9
"2d85d6ec39840f8051854b028fa13073","05505","47080310","202311161837","2566",671
"2d85d6ec39840f8051854b028fa13073","14441","47010100","202311161837","2566",31
"2d85d6ec39840f8051854b028fa13073","05551","47121203","202311161837","2566",4
"2d85d6ec39840f8051854b028fa13073","21323","47180300","202311161837","2566",228
"2d85d6ec39840f8051854b028fa13073","05548","47121001","202311161837","2566",23
"2d85d6ec39840f8051854b028fa13073","11079","46040101","202311121525","2566",409
"2d85d6ec39840f8051854b028fa13073","77677","22070101","202311160701","2566",94
"2d85d6ec39840f8051854b028fa13073","25058","41240107","202310181814","2566",722
"2d85d6ec39840f8051854b028fa13073","01486","16040506","202311160800","2566",1
"2d85d6ec39840f8051854b028fa13073","03081","31210408","202311162001","2566",1
"2d85d6ec39840f8051854b028fa13073","01970","21040101","202311170943","2566",1
"2d85d6ec39840f8051854b028fa13073","10906","31120103","202311162001","2566",18
"2d85d6ec39840f8051854b028fa13073","77707","91050103","202311170108","2566",6
"2d85d6ec39840f8051854b028fa13073","03315","33032007","202311160358","2566",1
"2d85d6ec39840f8051854b028fa13073","77510","21010202","202311170943","2566",1
"2d85d6ec39840f8051854b028fa13073","10909","31150401","202311162001","2566",1
"2d85d6ec39840f8051854b028fa13073","10832","21060101","202311170943","2566",276
"2d85d6ec39840f8051854b028fa13073","10831","21050204","202311170943","2566",325
"2d85d6ec39840f8051854b028fa13073","10907","31130508","202311162001","2566",23
"2d85d6ec39840f8051854b028fa13073","00990","11060201","202311160054","2566",1
"2d85d6ec39840f8051854b028fa13073","07568","65061104","202311162019","2566",47
"2d85d6ec39840f8051854b028fa13073","11169","54041203","202311061252","2566",180
"2d85d6ec39840f8051854b028fa13073","11167","54030106","202311061252","2566",40
"2d85d6ec39840f8051854b028fa13073","01782","19110402","202311160757","2566",4
"2d85d6ec39840f8051854b028fa13073","01781","19110401","202311160757","2566",13
"2d85d6ec39840f8051854b028fa13073","01610","18010501","202311151014","2566",7
"2d85d6ec39840f8051854b028fa13073","11080","46060116","202311121525","2566",821
"2d85d6ec39840f8051854b028fa13073","11081","46070120","202311121525","2566",34
"2d85d6ec39840f8051854b028fa13073","11363","84090103","202311160440","2566",316
"2d85d6ec39840f8051854b028fa13073","10743","85010100","202311160409","2566",1433
"2d85d6ec39840f8051854b028fa13073","08619","76050503","202311161420","2566",1
"2d85d6ec39840f8051854b028fa13073","11388","90040100","202311132002","2566",1208
"2d85d6ec39840f8051854b028fa13073","11387","90030102","202311132002","2566",40
"2d85d6ec39840f8051854b028fa13073","11386","90020101","202311132002","2566",35
"2d85d6ec39840f8051854b028fa13073","10745","90010402","202311132002","2566",4276
"2d85d6ec39840f8051854b028fa13073","10682","90110100","202311132002","2566",9585
"2d85d6ec39840f8051854b028fa13073","11390","90050105","202311132002","2566",151
"2d85d6ec39840f8051854b028fa13073","28858","70100103","202311152345","2566",5
"2d85d6ec39840f8051854b028fa13073","14334","60010100","202311161704","2566",396
"2d85d6ec39840f8051854b028fa13073","14333","60010609","202311161704","2566",514
"2d85d6ec39840f8051854b028fa13073","11220","60130109","202311161704","2566",1
"2d85d6ec39840f8051854b028fa13073","07161","62011303","202311161302","2566",3
"2d85d6ec39840f8051854b028fa13073","10837","22030805","202311160701","2566",22
"2d85d6ec39840f8051854b028fa13073","06251","53010205","202311161306","2566",143
"2d85d6ec39840f8051854b028fa13073","24689","95080203","202311161701","2566",63
"2d85d6ec39840f8051854b028fa13073","24705","95010100","202311161701","2566",2
"2d85d6ec39840f8051854b028fa13073","10053","95040306","202311161701","2566",3
"2d85d6ec39840f8051854b028fa13073","10050","95040201","202311161701","2566",9
"2d85d6ec39840f8051854b028fa13073","02214","24030407","202311170904","2566",1
"2d85d6ec39840f8051854b028fa13073","02205","24020809","202311170904","2566",3
"2d85d6ec39840f8051854b028fa13073","02218","24030705","202311170904","2566",1
"2d85d6ec39840f8051854b028fa13073","02228","24040602","202311170904","2566",30
"2d85d6ec39840f8051854b028fa13073","77661","24010100","202311170904","2566",1
"2d85d6ec39840f8051854b028fa13073","03862","35030909","202311170351","2566",2
"2d85d6ec39840f8051854b028fa13073","08615","76050205","202311161420","2566",3
"2d85d6ec39840f8051854b028fa13073","06253","53010405","202311161306","2566",25
"2d85d6ec39840f8051854b028fa13073","07167","62011508","202311161302","2566",186
"2d85d6ec39840f8051854b028fa13073","04773","42120409","202311171034","2566",2
"2d85d6ec39840f8051854b028fa13073","04770","42120102","202311171034","2566",2
"2d85d6ec39840f8051854b028fa13073","07566","65061004","202311162019","2566",179
"2d85d6ec39840f8051854b028fa13073","02991","31091001","202311162001","2566",10
"2d85d6ec39840f8051854b028fa13073","28020","31210109","202311162001","2566",9
"2d85d6ec39840f8051854b028fa13073","11541","10310100","202311160936","2566",3303
"2d85d6ec39840f8051854b028fa13073","10964","35030114","202311170351","2566",506
"2d85d6ec39840f8051854b028fa13073","05946","50120703","202311170830","2566",25
"2d85d6ec39840f8051854b028fa13073","03437","33100801","202311160358","2566",1
"2d85d6ec39840f8051854b028fa13073","02092","22070504","202311160701","2566",13
"2d85d6ec39840f8051854b028fa13073","04785","43010505","202311160552","2566",96
"2d85d6ec39840f8051854b028fa13073","07067","61010405","202311160829","2566",12
"2d85d6ec39840f8051854b028fa13073","04823","38020102","202311160711","2566",26
"2d85d6ec39840f8051854b028fa13073","04824","38020201","202311160711","2566",26
"2d85d6ec39840f8051854b028fa13073","04825","38020411","202311160711","2566",26
"2d85d6ec39840f8051854b028fa13073","04826","38020508","202311160711","2566",9
"2d85d6ec39840f8051854b028fa13073","04827","38020702","202311160711","2566",33
"2d85d6ec39840f8051854b028fa13073","04843","38030211","202311160711","2566",159
"2d85d6ec39840f8051854b028fa13073","04844","38030316","202311160711","2566",325
"2d85d6ec39840f8051854b028fa13073","04845","38030313","202311160711","2566",377
"2d85d6ec39840f8051854b028fa13073","04846","38030412","202311160711","2566",81
"2d85d6ec39840f8051854b028fa13073","04848","38030514","202311160711","2566",159
"2d85d6ec39840f8051854b028fa13073","04847","38030409","202311160711","2566",171
"2d85d6ec39840f8051854b028fa13073","04849","38030509","202311160711","2566",164
"2d85d6ec39840f8051854b028fa13073","04850","38030610","202311160711","2566",182
"2d85d6ec39840f8051854b028fa13073","04851","38030604","202311160711","2566",245
"2d85d6ec39840f8051854b028fa13073","04852","38030708","202311160711","2566",206
"2d85d6ec39840f8051854b028fa13073","04869","38040210","202311160711","2566",22
"2d85d6ec39840f8051854b028fa13073","11173","55020204","202311160627","2566",466
"2d85d6ec39840f8051854b028fa13073","10716","55010100","202311160627","2566",2465
"2d85d6ec39840f8051854b028fa13073","06842","58020301","202311160542","2566",26
"2d85d6ec39840f8051854b028fa13073","02093","22070505","202311160701","2566",8
"2d85d6ec39840f8051854b028fa13073","02090","22070401","202311160701","2566",41
"2d85d6ec39840f8051854b028fa13073","11315","77020105","202311160811","2566",78
"2d85d6ec39840f8051854b028fa13073","10867","27030101","202311161603","2566",578
"2d85d6ec39840f8051854b028fa13073","10868","27040106","202311161603","2566",917
"2d85d6ec39840f8051854b028fa13073","10696","23010700","202311170100","2566",486
"2d85d6ec39840f8051854b028fa13073","11353","82070101","202311170153","2566",206
"2d85d6ec39840f8051854b028fa13073","09071","82020302","202311170153","2566",2
"2d85d6ec39840f8051854b028fa13073","09078","82030501","202311170153","2566",2
"2d85d6ec39840f8051854b028fa13073","10725","64060108","202311170558","2566",48
"2d85d6ec39840f8051854b028fa13073","09793","93011402","202311160913","2566",3
"2d85d6ec39840f8051854b028fa13073","21557","93010100","202311160913","2566",8
"2d85d6ec39840f8051854b028fa13073","11082","46080104","202311121525","2566",617
"2d85d6ec39840f8051854b028fa13073","11083","46090710","202311121525","2566",401
