id|hospcode|areacode|date_com|b_year|target|result|result1|result2|result3|result4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030101|202411161204|2567|153|34|1|33|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030113|202411161204|2567|317|5|1|2|2|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030114|202411161204|2567|344|7|3|1|2|1
626c89f6b8d9f7ed90c72c719775eb07|10757|12030103|202511161156|2568|566|18|11|0|3|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030101|202511161156|2568|156|26|1|24|0|1
626c89f6b8d9f7ed90c72c719775eb07|10757|12030106|202511161156|2568|809|35|5|25|3|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030107|202511161156|2568|324|2|2|0|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030108|202511161156|2568|507|18|1|3|11|3
626c89f6b8d9f7ed90c72c719775eb07|10757|12030104|202511161156|2568|355|42|9|25|4|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030111|202511161156|2568|334|19|1|18|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030109|202511161156|2568|337|26|1|13|11|1
626c89f6b8d9f7ed90c72c719775eb07|10757|12030110|202511161156|2568|644|23|1|16|3|3
626c89f6b8d9f7ed90c72c719775eb07|10757|12030114|202511161156|2568|351|10|2|0|6|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030112|202511161156|2568|102|8|0|5|1|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030113|202511161156|2568|313|20|5|9|6|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030115|202511161156|2568|574|31|12|16|2|1
626c89f6b8d9f7ed90c72c719775eb07|10757|12030105|202511161156|2568|433|40|5|24|9|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030101|202603100857|2569|174|6|2|4|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030103|202603100857|2569|581|18|2|16|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030104|202603100857|2569|378|19|1|18|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030105|202603100857|2569|446|11|5|6|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030106|202603100857|2569|839|17|8|9|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030108|202603100857|2569|520|9|2|7|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030107|202603100857|2569|334|2|1|1|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030109|202603100857|2569|341|8|1|7|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030111|202603100857|2569|342|3|1|2|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030110|202603100857|2569|670|20|3|17|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030112|202603100857|2569|104|2|0|2|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030113|202603100857|2569|314|7|3|4|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030114|202603100857|2569|369|7|1|6|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030115|202603100857|2569|602|26|11|15|0|0|
